Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,Gold%,VS%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
113,,38,39.50%,3.2,2.7,3.5,8.8,5.6,335,76.50%,17.40%,18.80%,14.90%,468,1.26,0.26,0.31,0.22,132,-2,-66,47.40%,2.60%,0,7
1Jiang,,70,35.70%,2.4,2.5,3.1,5.1,7.6,370,57.80%,23.80%,20.90%,13%,544,1.08,0.44,0.17,0.25,-5,-,-,-,-,-,-
1xn,,98,34.70%,3.1,4,2.8,4.8,9.4,432,71.20%,28.60%,24.20%,13.70%,714,1.13,0.36,0.35,0.1,5,-,-,-,-,-,-
369,,183,62.30%,3.3,2.8,2.7,6.4,8,393,55%,21.70%,20.80%,11%,630,0.93,0.38,0.15,0.15,169,4,269,1.60%,0.50%,0,4
5t5,,5,20%,1,1,3.8,2.8,6.7,320,69.80%,12.50%,19%,16.70%,254,1.52,0.28,0.38,0.28,-327,-,-,-,-,-,-
AKi,,98,39.80%,2.7,2.8,3.6,6.9,6.4,352,70.20%,15.60%,19.40%,17.20%,396,1.38,0.26,0.32,0.2,-126,-,-,-,-,-,-
APA,,66,48.50%,3.2,3.4,3,6.2,8.4,405,67.60%,28.30%,22.40%,15%,738,1.25,0.56,0.21,0.22,80,-3,-56,27.30%,12.10%,0,16
Abbedagge,,29,13.80%,1.3,2,4,3,8.5,376,59%,25%,22.20%,13.50%,556,1.1,0.48,0.2,0.22,-448,-8,-485,10.30%,10.30%,0,9
Ackerman,,3,33.30%,3.6,1,2.3,7.3,1,242,66%,12.20%,13.90%,41.70%,276,3.29,1.84,0.34,0.54,-754,5,12,33.30%,33.30%,0,-
Adam,,37,16.20%,2.2,3.1,3.1,3.6,8.4,396,57.40%,24.70%,23.20%,12.80%,567,1,0.4,0.2,0.14,22,1,-83,13.50%,13.50%,0,6
Ahn,,58,55.20%,4.6,4.3,2.4,7,8.9,433,69.50%,28.20%,23.10%,14%,737,1.22,0.42,0.37,0.12,125,-,-,-,-,-,-
Aiming,,131,55.70%,6.1,4.5,1.8,6.4,9.8,451,72.90%,28.10%,24.40%,14.40%,742,1.23,0.43,0.36,0.12,124,4,0,13%,6.10%,1,15
Ale,,83,60.20%,3.6,2.7,2.6,6.6,7.9,392,59.80%,21.30%,20.70%,12%,563,1,0.43,0.15,0.15,32,-,-,-,-,-,-
Alvaro,,109,53.20%,3.4,0.6,3.2,10.3,1,251,76.90%,7.70%,13.50%,43.90%,192,3.81,1.96,0.48,0.51,19,-1,-58,36.70%,13.80%,0,-
Andil,,87,41.40%,2.3,0.6,4.2,9.2,1,236,70.80%,7.90%,13.20%,39.60%,198,3.24,1.67,0.36,0.44,-83,1,-16,36.80%,16.10%,0,3
Angel,,68,52.90%,6,3.5,1.7,6.9,8.7,410,67.50%,25.70%,22.10%,14.50%,658,1.26,0.45,0.28,0.21,74,-,-,-,-,-,-
Aress,,52,44.20%,3.6,2.4,2.2,5.3,8.7,395,62.60%,23.30%,21.80%,13.70%,540,1.1,0.45,0.22,0.17,-166,-4,-95,30.80%,15.40%,0,8
Aria,,53,26.40%,3.6,3.6,2.6,5.7,8.7,401,76.70%,28.70%,23.20%,15.50%,702,1.22,0.36,0.3,0.23,154,3,-3,18.90%,17%,0,10
Artemis,,94,48.90%,4.3,4.3,2.3,5.4,9.3,436,70.90%,26.70%,23.80%,13.30%,649,1.09,0.37,0.33,0.13,59,0,-53,30.90%,4.30%,0,6